1-364285768,In Progress/Accepted,2010-03-31 15:59:42
1-364285768,In Progress/Accepted,2010-03-31 16:00:56
1-364285768,Awaiting Assignment/Queued,2010-03-31 16:45:48
1-364285768,In Progress/Accepted,2010-04-06 15:44:07
1-364285768,Awaiting Assignment/Queued,2010-04-06 15:44:38
1-364285768,In Progress/Accepted,2010-04-06 15:44:47
1-364285768,Resolved/Completed,2010-04-06 15:44:51
1-364285768,Awaiting Assignment/Queued,2010-04-06 15:45:07
1-364285768,In Progress/Accepted,2010-04-08 11:52:23
1-364285768,Awaiting Assignment/Queued,2010-04-08 11:53:35
1-364285768,In Progress/Accepted,2010-04-20 10:07:11
1-364285768,Assigned/Accepted,2010-04-20 10:07:19
1-364285768,In Progress/Accepted,2012-04-11 16:11:17
1-364285768,Assigned/Accepted,2012-04-11 16:11:25
1-364285768,In Progress/Accepted,2012-05-03 10:10:10
1-364285768,Resolved/Completed,2012-05-03 10:10:12
1-364285768,Closed/Completed,2012-05-11 00:26:15
1-467153946,In Progress/Accepted,2011-01-31 11:12:22
1-467153946,In Progress/Accepted,2011-01-31 11:18:44
1-467153946,Awaiting Assignment/Queued,2011-01-31 11:19:05
1-467153946,In Progress/Accepted,2011-01-31 12:59:46
1-467153946,Wait - User/Accepted,2011-01-31 14:37:55
1-467153946,Awaiting Assignment/Queued,2011-02-03 08:28:58
1-467153946,In Progress/Accepted,2011-02-07 12:37:33
1-467153946,Wait - Implementation/Accepted,2011-02-07 12:38:25
1-467153946,In Progress/Accepted,2011-03-09 11:08:06
1-467153946,Wait - Implementation/Accepted,2011-03-09 11:27:05
1-467153946,In Progress/Accepted,2011-03-10 11:53:10
1-467153946,Assigned/Accepted,2011-03-10 11:53:22
1-467153946,In Progress/Accepted,2011-03-10 12:17:22
1-467153946,Wait - User/Accepted,2011-03-10 12:21:51
1-467153946,Wait/Accepted,2011-03-10 14:45:27
1-467153946,Assigned/Accepted,2011-03-14 07:56:20
1-467153946,In Progress/Accepted,2011-03-14 07:58:01
1-467153946,Wait/Accepted,2011-03-14 07:58:55
1-467153946,In Progress/Accepted,2011-04-05 16:59:52
1-467153946,Awaiting Assignment/Queued,2011-04-05 17:02:01
1-467153946,In Progress/Accepted,2011-04-06 09:32:07
1-467153946,Assigned/Accepted,2011-04-06 10:47:50
1-467153946,In Progress/Accepted,2011-04-06 10:48:33
1-467153946,Wait - User/Accepted,2011-04-06 11:08:47
1-467153946,In Progress/Accepted,2011-04-07 12:36:47
1-467153946,Wait/Accepted,2011-04-07 13:06:06
1-467153946,In Progress/Accepted,2011-04-08 13:10:59
1-467153946,Wait/Accepted,2011-04-08 13:17:44
1-467153946,Awaiting Assignment/Queued,2011-04-08 13:20:00
1-467153946,In Progress/Accepted,2011-04-12 14:16:47
1-467153946,In Progress/Accepted,2011-08-08 14:28:38
1-467153946,Assigned/Accepted,2011-09-12 10:22:38
1-467153946,In Progress/Accepted,2011-11-21 13:52:19
1-467153946,Wait - Implementation/Accepted,2011-11-21 13:52:57
1-467153946,Awaiting Assignment/Queued,2012-01-25 15:50:41
1-467153946,In Progress/Accepted,2012-01-25 15:53:07
1-467153946,Awaiting Assignment/Queued,2012-01-25 15:54:00
1-467153946,In Progress/Accepted,2012-05-15 16:56:51
1-467153946,Resolved/Completed,2012-05-15 16:57:39
1-467153946,Closed/Completed,2012-05-23 00:22:25
1-503573772,In Progress/Accepted,2011-02-24 16:17:46
1-503573772,In Progress/Accepted,2011-02-24 16:17:52
1-503573772,Awaiting Assignment/Queued,2011-02-24 16:19:35
1-503573772,In Progress/Accepted,2011-02-28 13:46:38
1-503573772,Awaiting Assignment/Queued,2011-02-28 13:47:22
1-503573772,In Progress/Accepted,2011-02-28 13:48:12
1-503573772,Awaiting Assignment/Queued,2011-02-28 13:53:24
1-503573772,In Progress/Accepted,2011-05-04 17:07:37
1-503573772,Awaiting Assignment/Queued,2012-02-17 14:49:34
1-503573772,In Progress/Accepted,2012-03-21 16:21:44
1-503573772,In Progress/Accepted,2012-03-26 10:55:35
1-503573772,Awaiting Assignment/Queued,2012-03-26 10:57:04
1-503573772,In Progress/Accepted,2012-04-03 14:29:44
1-503573772,Wait/Accepted,2012-04-03 14:29:49
1-503573772,In Progress/Accepted,2012-05-04 07:58:20
1-503573772,Resolved/Completed,2012-05-04 07:59:39
1-503573772,Closed/Completed,2012-05-12 00:21:31
1-504538555,In Progress/Accepted,2011-02-28 14:13:33
1-504538555,In Progress/Accepted,2011-02-28 14:13:40
1-504538555,Awaiting Assignment/Queued,2011-02-28 14:17:09
1-504538555,In Progress/Accepted,2011-03-01 15:59:36
1-504538555,Awaiting Assignment/Queued,2011-03-01 16:00:16
1-504538555,In Progress/Accepted,2011-03-01 18:34:25
1-504538555,Assigned/Accepted,2011-03-01 18:46:00
1-504538555,In Progress/Accepted,2011-03-02 07:42:49
1-504538555,Awaiting Assignment/Queued,2011-03-02 07:44:11
1-504538555,In Progress/Accepted,2011-05-04 17:08:55
1-504538555,Awaiting Assignment/Queued,2012-03-13 10:53:43
1-504538555,In Progress/Accepted,2012-03-13 11:11:24
1-504538555,Awaiting Assignment/Queued,2012-03-13 11:27:20
1-504538555,In Progress/Accepted,2012-04-03 14:59:27
1-504538555,Wait - Implementation/Accepted,2012-04-04 14:53:31
1-504538555,In Progress/Accepted,2012-04-04 14:54:40
1-504538555,In Progress/Accepted,2012-05-04 07:55:03
1-504538555,Resolved/Completed,2012-05-04 07:57:02
1-504538555,Closed/Completed,2012-05-12 00:21:30
1-506071646,In Progress/Accepted,2011-03-07 10:42:08
1-506071646,In Progress/Accepted,2011-03-07 10:44:43
1-506071646,In Progress/Accepted,2011-03-07 10:51:59
1-506071646,Awaiting Assignment/Queued,2011-03-07 10:52:51
1-506071646,In Progress/Accepted,2011-03-07 11:48:31
1-506071646,Awaiting Assignment/Queued,2011-03-07 11:55:20
1-506071646,In Progress/Accepted,2011-03-07 12:03:37
1-506071646,Wait - User/Accepted,2011-03-07 12:04:35
1-506071646,In Progress/Accepted,2011-03-07 13:22:56
1-506071646,Awaiting Assignment/Queued,2011-03-07 13:24:38
1-506071646,In Progress/Accepted,2011-03-07 14:13:15
1-506071646,Awaiting Assignment/Queued,2011-03-07 14:13:58
1-506071646,In Progress/Accepted,2011-03-08 06:53:06
1-506071646,Awaiting Assignment/Queued,2011-03-08 06:55:54
1-506071646,In Progress/Accepted,2011-03-08 09:16:24
1-506071646,Awaiting Assignment/Queued,2011-03-08 09:18:18
1-506071646,In Progress/Accepted,2011-03-08 09:20:32
1-506071646,Wait - User/Accepted,2011-03-08 09:22:46
1-506071646,In Progress/Accepted,2011-03-09 07:16:14
1-506071646,Awaiting Assignment/Queued,2011-03-09 07:17:16
1-506071646,In Progress/Accepted,2011-03-09 17:03:41
1-506071646,Awaiting Assignment/Queued,2011-03-09 17:05:12
1-506071646,In Progress/Accepted,2011-03-10 12:29:05
1-506071646,Wait - User/Accepted,2011-03-10 12:47:33
1-506071646,In Progress/Accepted,2011-03-14 10:19:53
1-506071646,Assigned/Accepted,2011-03-14 10:28:30
1-506071646,In Progress/Accepted,2011-03-14 10:28:35
1-506071646,Awaiting Assignment/Queued,2011-03-14 10:29:13
1-506071646,In Progress/Accepted,2011-03-14 10:30:27
1-506071646,Awaiting Assignment/Queued,2011-03-14 10:37:19
1-506071646,In Progress/Accepted,2011-03-15 10:41:17
1-506071646,Awaiting Assignment/Queued,2011-03-15 10:53:36
1-506071646,In Progress/Accepted,2011-03-15 11:00:18
1-506071646,Awaiting Assignment/Queued,2011-03-15 11:12:52
1-506071646,In Progress/Accepted,2011-03-15 11:21:49
1-506071646,Awaiting Assignment/Queued,2011-03-15 11:23:58
1-506071646,In Progress/Accepted,2011-03-15 11:27:28
1-506071646,Wait - User/Accepted,2011-03-15 11:33:30
1-506071646,In Progress/Accepted,2011-03-15 12:38:16
1-506071646,Wait - User/Accepted,2011-03-15 14:39:01
1-506071646,In Progress/Accepted,2011-03-23 10:13:28
1-506071646,In Progress/Accepted,2011-03-23 10:13:29
1-506071646,Wait - User/Accepted,2011-03-23 10:17:21
1-506071646,In Progress/Accepted,2011-03-24 10:12:18
1-506071646,Awaiting Assignment/Queued,2011-03-24 10:13:25
1-506071646,In Progress/Accepted,2011-03-24 13:20:10
